"Notes"	"County"	"id"	"Month"	"Month Code"	daily_max_air_temp_f
	"Valley County, ID"	"16085"	"Feb"	"2"	30.67
	"Valley County, ID"	"16085"	"Mar"	"3"	36.30
	"Valley County, ID"	"16085"	"Apr"	"4"	43.71
	"Valley County, ID"	"16085"	"May"	"5"	52.83
	"Valley County, ID"	"16085"	"Jun"	"6"	60.96
	"Valley County, ID"	"16085"	"Jul"	"7"	70.31
	"Valley County, ID"	"16085"	"Aug"	"8"	70.42
	"Valley County, ID"	"16085"	"Sep"	"9"	62.08
	"Valley County, ID"	"16085"	"Oct"	"10"	49.44
	"Valley County, ID"	"16085"	"Nov"	"11"	34.79
	"Valley County, ID"	"16085"	"Dec"	"12"	28.70
"Total"	"Valley County, ID"	"16085"			47.51
	"Washington County, ID"	"16087"	"Jan"	"1"	32.69
	"Washington County, ID"	"16087"	"Feb"	"2"	38.63
	"Washington County, ID"	"16087"	"Mar"	"3"	48.40
	"Washington County, ID"	"16087"	"Apr"	"4"	56.36
	"Washington County, ID"	"16087"	"May"	"5"	65.17
	"Washington County, ID"	"16087"	"Jun"	"6"	74.16
	"Washington County, ID"	"16087"	"Jul"	"7"	85.29
	"Washington County, ID"	"16087"	"Aug"	"8"	85.58
	"Washington County, ID"	"16087"	"Sep"	"9"	75.85
	"Washington County, ID"	"16087"	"Oct"	"10"	61.13
	"Washington County, ID"	"16087"	"Nov"	"11"	43.91
	"Washington County, ID"	"16087"	"Dec"	"12"	33.45
"Total"	"Washington County, ID"	"16087"			58.49
	"Adams County, IL"	"17001"	"Jan"	"1"	31.89
	"Adams County, IL"	"17001"	"Feb"	"2"	37.36
	"Adams County, IL"	"17001"	"Mar"	"3"	50.55
	"Adams County, IL"	"17001"	"Apr"	"4"	62.61
	"Adams County, IL"	"17001"	"May"	"5"	72.60
	"Adams County, IL"	"17001"	"Jun"	"6"	81.97
	"Adams County, IL"	"17001"	"Jul"	"7"	87.39
	"Adams County, IL"	"17001"	"Aug"	"8"	87.56
	"Adams County, IL"	"17001"	"Sep"	"9"	78.96
	"Adams County, IL"	"17001"	"Oct"	"10"	65.88
	"Adams County, IL"	"17001"	"Nov"	"11"	51.51
	"Adams County, IL"	"17001"	"Dec"	"12"	36.89
"Total"	"Adams County, IL"	"17001"			62.21
	"Alexander County, IL"	"17003"	"Jan"	"1"	41.07
	"Alexander County, IL"	"17003"	"Feb"	"2"	46.21
	"Alexander County, IL"	"17003"	"Mar"	"3"	56.84
	"Alexander County, IL"	"17003"	"Apr"	"4"	67.41
	"Alexander County, IL"	"17003"	"May"	"5"	76.63
	"Alexander County, IL"	"17003"	"Jun"	"6"	85.16
	"Alexander County, IL"	"17003"	"Jul"	"7"	88.46
	"Alexander County, IL"	"17003"	"Aug"	"8"	88.33
	"Alexander County, IL"	"17003"	"Sep"	"9"	81.21
	"Alexander County, IL"	"17003"	"Oct"	"10"	70.14
	"Alexander County, IL"	"17003"	"Nov"	"11"	57.21
	"Alexander County, IL"	"17003"	"Dec"	"12"	44.91
"Total"	"Alexander County, IL"	"17003"			67.06
	"Bond County, IL"	"17005"	"Jan"	"1"	35.71
	"Bond County, IL"	"17005"	"Feb"	"2"	41.01
	"Bond County, IL"	"17005"	"Mar"	"3"	52.73
	"Bond County, IL"	"17005"	"Apr"	"4"	64.20
	"Bond County, IL"	"17005"	"May"	"5"	74.27
	"Bond County, IL"	"17005"	"Jun"	"6"	83.22
	"Bond County, IL"	"17005"	"Jul"	"7"	87.22
	"Bond County, IL"	"17005"	"Aug"	"8"	87.59
	"Bond County, IL"	"17005"	"Sep"	"9"	80.15
	"Bond County, IL"	"17005"	"Oct"	"10"	67.68
	"Bond County, IL"	"17005"	"Nov"	"11"	53.83
	"Bond County, IL"	"17005"	"Dec"	"12"	40.51
"Total"	"Bond County, IL"	"17005"			64.11
	"Boone County, IL"	"17007"	"Jan"	"1"	25.10
	"Boone County, IL"	"17007"	"Feb"	"2"	29.78
	"Boone County, IL"	"17007"	"Mar"	"3"	42.90
	"Boone County, IL"	"17007"	"Apr"	"4"	57.07
	"Boone County, IL"	"17007"	"May"	"5"	68.28
	"Boone County, IL"	"17007"	"Jun"	"6"	77.84
	"Boone County, IL"	"17007"	"Jul"	"7"	82.13
	"Boone County, IL"	"17007"	"Aug"	"8"	81.20
	"Boone County, IL"	"17007"	"Sep"	"9"	73.91
	"Boone County, IL"	"17007"	"Oct"	"10"	60.72
	"Boone County, IL"	"17007"	"Nov"	"11"	45.48
	"Boone County, IL"	"17007"	"Dec"	"12"	30.26
"Total"	"Boone County, IL"	"17007"			56.34
	"Brown County, IL"	"17009"	"Jan"	"1"	32.22
	"Brown County, IL"	"17009"	"Feb"	"2"	37.79
	"Brown County, IL"	"17009"	"Mar"	"3"	50.75
	"Brown County, IL"	"17009"	"Apr"	"4"	62.77
	"Brown County, IL"	"17009"	"May"	"5"	72.75
	"Brown County, IL"	"17009"	"Jun"	"6"	81.91
	"Brown County, IL"	"17009"	"Jul"	"7"	87.25
	"Brown County, IL"	"17009"	"Aug"	"8"	87.66
	"Brown County, IL"	"17009"	"Sep"	"9"	79.14
	"Brown County, IL"	"17009"	"Oct"	"10"	66.11
	"Brown County, IL"	"17009"	"Nov"	"11"	51.75
	"Brown County, IL"	"17009"	"Dec"	"12"	37.23
"Total"	"Brown County, IL"	"17009"			62.39
	"Bureau County, IL"	"17011"	"Jan"	"1"	27.61
	"Bureau County, IL"	"17011"	"Feb"	"2"	32.83
	"Bureau County, IL"	"17011"	"Mar"	"3"	46.40
	"Bureau County, IL"	"17011"	"Apr"	"4"	59.83
	"Bureau County, IL"	"17011"	"May"	"5"	70.87
	"Bureau County, IL"	"17011"	"Jun"	"6"	79.76
	"Bureau County, IL"	"17011"	"Jul"	"7"	84.05
	"Bureau County, IL"	"17011"	"Aug"	"8"	83.88
	"Bureau County, IL"	"17011"	"Sep"	"9"	76.24
	"Bureau County, IL"	"17011"	"Oct"	"10"	63.14
	"Bureau County, IL"	"17011"	"Nov"	"11"	47.95
	"Bureau County, IL"	"17011"	"Dec"	"12"	32.80
"Total"	"Bureau County, IL"	"17011"			58.90
	"Calhoun County, IL"	"17013"	"Jan"	"1"	35.10
	"Calhoun County, IL"	"17013"	"Feb"	"2"	40.37
	"Calhoun County, IL"	"17013"	"Mar"	"3"	52.62
	"Calhoun County, IL"	"17013"	"Apr"	"4"	64.12
	"Calhoun County, IL"	"17013"	"May"	"5"	73.71
	"Calhoun County, IL"	"17013"	"Jun"	"6"	82.94
	"Calhoun County, IL"	"17013"	"Jul"	"7"	88.31
	"Calhoun County, IL"	"17013"	"Aug"	"8"	88.89
	"Calhoun County, IL"	"17013"	"Sep"	"9"	80.27
	"Calhoun County, IL"	"17013"	"Oct"	"10"	67.57
	"Calhoun County, IL"	"17013"	"Nov"	"11"	53.63
	"Calhoun County, IL"	"17013"	"Dec"	"12"	39.85
"Total"	"Calhoun County, IL"	"17013"			64.06
	"Carroll County, IL"	"17015"	"Jan"	"1"	25.07
	"Carroll County, IL"	"17015"	"Feb"	"2"	30.19
	"Carroll County, IL"	"17015"	"Mar"	"3"	44.13
	"Carroll County, IL"	"17015"	"Apr"	"4"	58.53
	"Carroll County, IL"	"17015"	"May"	"5"	69.70
	"Carroll County, IL"	"17015"	"Jun"	"6"	78.99
	"Carroll County, IL"	"17015"	"Jul"	"7"	83.69
	"Carroll County, IL"	"17015"	"Aug"	"8"	82.94
	"Carroll County, IL"	"17015"	"Sep"	"9"	75.10
	"Carroll County, IL"	"17015"	"Oct"	"10"	61.81
	"Carroll County, IL"	"17015"	"Nov"	"11"	46.15
	"Carroll County, IL"	"17015"	"Dec"	"12"	30.40
"Total"	"Carroll County, IL"	"17015"			57.35
	"Cass County, IL"	"17017"	"Jan"	"1"	32.35
	"Cass County, IL"	"17017"	"Feb"	"2"	37.99
	"Cass County, IL"	"17017"	"Mar"	"3"	50.77
	"Cass County, IL"	"17017"	"Apr"	"4"	62.92
	"Cass County, IL"	"17017"	"May"	"5"	73.13
	"Cass County, IL"	"17017"	"Jun"	"6"	81.93
	"Cass County, IL"	"17017"	"Jul"	"7"	86.73
	"Cass County, IL"	"17017"	"Aug"	"8"	87.37
	"Cass County, IL"	"17017"	"Sep"	"9"	79.33
	"Cass County, IL"	"17017"	"Oct"	"10"	66.30
	"Cass County, IL"	"17017"	"Nov"	"11"	51.89
	"Cass County, IL"	"17017"	"Dec"	"12"	37.43
"Total"	"Cass County, IL"	"17017"			62.46
	"Champaign County, IL"	"17019"	"Jan"	"1"	31.13
	"Champaign County, IL"	"17019"	"Feb"	"2"	35.90
	"Champaign County, IL"	"17019"	"Mar"	"3"	48.20
	"Champaign County, IL"	"17019"	"Apr"	"4"	61.19
	"Champaign County, IL"	"17019"	"May"	"5"	72.21
	"Champaign County, IL"	"17019"	"Jun"	"6"	80.77
	"Champaign County, IL"	"17019"	"Jul"	"7"	83.75
	"Champaign County, IL"	"17019"	"Aug"	"8"	83.72
	"Champaign County, IL"	"17019"	"Sep"	"9"	77.60
	"Champaign County, IL"	"17019"	"Oct"	"10"	64.96
	"Champaign County, IL"	"17019"	"Nov"	"11"	50.68
	"Champaign County, IL"	"17019"	"Dec"	"12"	36.32
"Total"	"Champaign County, IL"	"17019"			60.64
	"Christian County, IL"	"17021"	"Jan"	"1"	33.27
	"Christian County, IL"	"17021"	"Feb"	"2"	38.74
	"Christian County, IL"	"17021"	"Mar"	"3"	51.00
	"Christian County, IL"	"17021"	"Apr"	"4"	63.09
	"Christian County, IL"	"17021"	"May"	"5"	73.38
	"Christian County, IL"	"17021"	"Jun"	"6"	81.95
	"Christian County, IL"	"17021"	"Jul"	"7"	85.73
	"Christian County, IL"	"17021"	"Aug"	"8"	86.48
	"Christian County, IL"	"17021"	"Sep"	"9"	79.34
	"Christian County, IL"	"17021"	"Oct"	"10"	66.53
	"Christian County, IL"	"17021"	"Nov"	"11"	52.35
	"Christian County, IL"	"17021"	"Dec"	"12"	38.35
"Total"	"Christian County, IL"	"17021"			62.62
	"Clark County, IL"	"17023"	"Jan"	"1"	34.12
	"Clark County, IL"	"17023"	"Feb"	"2"	39.01
	"Clark County, IL"	"17023"	"Mar"	"3"	50.71
	"Clark County, IL"	"17023"	"Apr"	"4"	62.84
	"Clark County, IL"	"17023"	"May"	"5"	72.97
	"Clark County, IL"	"17023"	"Jun"	"6"	81.85
	"Clark County, IL"	"17023"	"Jul"	"7"	85.07
	"Clark County, IL"	"17023"	"Aug"	"8"	84.95
	"Clark County, IL"	"17023"	"Sep"	"9"	78.83
	"Clark County, IL"	"17023"	"Oct"	"10"	66.23
	"Clark County, IL"	"17023"	"Nov"	"11"	52.61
	"Clark County, IL"	"17023"	"Dec"	"12"	39.10
"Total"	"Clark County, IL"	"17023"			62.46
	"Clay County, IL"	"17025"	"Jan"	"1"	36.41
	"Clay County, IL"	"17025"	"Feb"	"2"	41.52
	"Clay County, IL"	"17025"	"Mar"	"3"	52.89
	"Clay County, IL"	"17025"	"Apr"	"4"	64.25
	"Clay County, IL"	"17025"	"May"	"5"	74.10
	"Clay County, IL"	"17025"	"Jun"	"6"	83.07
	"Clay County, IL"	"17025"	"Jul"	"7"	86.69
	"Clay County, IL"	"17025"	"Aug"	"8"	86.99
	"Clay County, IL"	"17025"	"Sep"	"9"	80.10
	"Clay County, IL"	"17025"	"Oct"	"10"	67.62
	"Clay County, IL"	"17025"	"Nov"	"11"	54.07
	"Clay County, IL"	"17025"	"Dec"	"12"	40.98
"Total"	"Clay County, IL"	"17025"			64.16
	"Clinton County, IL"	"17027"	"Jan"	"1"	36.70
	"Clinton County, IL"	"17027"	"Feb"	"2"	41.99
	"Clinton County, IL"	"17027"	"Mar"	"3"	53.57
	"Clinton County, IL"	"17027"	"Apr"	"4"	64.92
	"Clinton County, IL"	"17027"	"May"	"5"	74.83
	"Clinton County, IL"	"17027"	"Jun"	"6"	83.79
	"Clinton County, IL"	"17027"	"Jul"	"7"	87.78
	"Clinton County, IL"	"17027"	"Aug"	"8"	88.18
	"Clinton County, IL"	"17027"	"Sep"	"9"	80.67
	"Clinton County, IL"	"17027"	"Oct"	"10"	68.33
	"Clinton County, IL"	"17027"	"Nov"	"11"	54.56
	"Clinton County, IL"	"17027"	"Dec"	"12"	41.31
"Total"	"Clinton County, IL"	"17027"			64.82
	"Coles County, IL"	"17029"	"Jan"	"1"	33.09
	"Coles County, IL"	"17029"	"Feb"	"2"	38.21
	"Coles County, IL"	"17029"	"Mar"	"3"	50.17
	"Coles County, IL"	"17029"	"Apr"	"4"	62.45
	"Coles County, IL"	"17029"	"May"	"5"	72.83
	"Coles County, IL"	"17029"	"Jun"	"6"	81.60
	"Coles County, IL"	"17029"	"Jul"	"7"	84.80
	"Coles County, IL"	"17029"	"Aug"	"8"	85.17
	"Coles County, IL"	"17029"	"Sep"	"9"	78.67
	"Coles County, IL"	"17029"	"Oct"	"10"	65.94
	"Coles County, IL"	"17029"	"Nov"	"11"	51.98
	"Coles County, IL"	"17029"	"Dec"	"12"	38.26
"Total"	"Coles County, IL"	"17029"			62.04
	"Cook County, IL"	"17031"	"Jan"	"1"	27.85
	"Cook County, IL"	"17031"	"Feb"	"2"	32.00
	"Cook County, IL"	"17031"	"Mar"	"3"	44.34
	"Cook County, IL"	"17031"	"Apr"	"4"	57.40
	"Cook County, IL"	"17031"	"May"	"5"	68.43
	"Cook County, IL"	"17031"	"Jun"	"6"	78.07
	"Cook County, IL"	"17031"	"Jul"	"7"	82.39
	"Cook County, IL"	"17031"	"Aug"	"8"	81.45
	"Cook County, IL"	"17031"	"Sep"	"9"	74.65
	"Cook County, IL"	"17031"	"Oct"	"10"	61.53
	"Cook County, IL"	"17031"	"Nov"	"11"	46.99
	"Cook County, IL"	"17031"	"Dec"	"12"	32.76
"Total"	"Cook County, IL"	"17031"			57.44
	"Crawford County, IL"	"17033"	"Jan"	"1"	35.31
	"Crawford County, IL"	"17033"	"Feb"	"2"	40.30
	"Crawford County, IL"	"17033"	"Mar"	"3"	51.79
	"Crawford County, IL"	"17033"	"Apr"	"4"	63.57
	"Crawford County, IL"	"17033"	"May"	"5"	73.65
	"Crawford County, IL"	"17033"	"Jun"	"6"	82.46
	"Crawford County, IL"	"17033"	"Jul"	"7"	85.77
	"Crawford County, IL"	"17033"	"Aug"	"8"	85.62
	"Crawford County, IL"	"17033"	"Sep"	"9"	79.41
	"Crawford County, IL"	"17033"	"Oct"	"10"	66.95
	"Crawford County, IL"	"17033"	"Nov"	"11"	53.42
	"Crawford County, IL"	"17033"	"Dec"	"12"	40.10
"Total"	"Crawford County, IL"	"17033"			63.30
	"Cumberland County, IL"	"17035"	"Jan"	"1"	34.30
	"Cumberland County, IL"	"17035"	"Feb"	"2"	39.37
	"Cumberland County, IL"	"17035"	"Mar"	"3"	51.04
	"Cumberland County, IL"	"17035"	"Apr"	"4"	63.07
	"Cumberland County, IL"	"17035"	"May"	"5"	73.28
	"Cumberland County, IL"	"17035"	"Jun"	"6"	82.15
	"Cumberland County, IL"	"17035"	"Jul"	"7"	85.41
	"Cumberland County, IL"	"17035"	"Aug"	"8"	85.61
	"Cumberland County, IL"	"17035"	"Sep"	"9"	79.18
	"Cumberland County, IL"	"17035"	"Oct"	"10"	66.52
	"Cumberland County, IL"	"17035"	"Nov"	"11"	52.76
	"Cumberland County, IL"	"17035"	"Dec"	"12"	39.30
"Total"	"Cumberland County, IL"	"17035"			62.77
	"DeKalb County, IL"	"17037"	"Jan"	"1"	26.34
	"DeKalb County, IL"	"17037"	"Feb"	"2"	31.17
	"DeKalb County, IL"	"17037"	"Mar"	"3"	44.20
	"DeKalb County, IL"	"17037"	"Apr"	"4"	57.92
	"DeKalb County, IL"	"17037"	"May"	"5"	68.98
	"DeKalb County, IL"	"17037"	"Jun"	"6"	78.22
	"DeKalb County, IL"	"17037"	"Jul"	"7"	82.05
	"DeKalb County, IL"	"17037"	"Aug"	"8"	81.36
	"DeKalb County, IL"	"17037"	"Sep"	"9"	74.43
	"DeKalb County, IL"	"17037"	"Oct"	"10"	61.45
	"DeKalb County, IL"	"17037"	"Nov"	"11"	46.30
	"DeKalb County, IL"	"17037"	"Dec"	"12"	31.44
"Total"	"DeKalb County, IL"	"17037"			57.10
	"De Witt County, IL"	"17039"	"Jan"	"1"	31.14
	"De Witt County, IL"	"17039"	"Feb"	"2"	36.42
	"De Witt County, IL"	"17039"	"Mar"	"3"	49.02
	"De Witt County, IL"	"17039"	"Apr"	"4"	61.60
	"De Witt County, IL"	"17039"	"May"	"5"	72.41
	"De Witt County, IL"	"17039"	"Jun"	"6"	80.86
	"De Witt County, IL"	"17039"	"Jul"	"7"	84.30
	"De Witt County, IL"	"17039"	"Aug"	"8"	84.77
	"De Witt County, IL"	"17039"	"Sep"	"9"	77.90
	"De Witt County, IL"	"17039"	"Oct"	"10"	65.24
	"De Witt County, IL"	"17039"	"Nov"	"11"	50.80
	"De Witt County, IL"	"17039"	"Dec"	"12"	36.37
"Total"	"De Witt County, IL"	"17039"			61.01
	"Douglas County, IL"	"17041"	"Jan"	"1"	32.55
	"Douglas County, IL"	"17041"	"Feb"	"2"	37.56
	"Douglas County, IL"	"17041"	"Mar"	"3"	49.61
	"Douglas County, IL"	"17041"	"Apr"	"4"	62.19
	"Douglas County, IL"	"17041"	"May"	"5"	72.73
	"Douglas County, IL"	"17041"	"Jun"	"6"	81.44
	"Douglas County, IL"	"17041"	"Jul"	"7"	84.52
	"Douglas County, IL"	"17041"	"Aug"	"8"	84.70
	"Douglas County, IL"	"17041"	"Sep"	"9"	78.33
	"Douglas County, IL"	"17041"	"Oct"	"10"	65.72
	"Douglas County, IL"	"17041"	"Nov"	"11"	51.71
	"Douglas County, IL"	"17041"	"Dec"	"12"	37.81
"Total"	"Douglas County, IL"	"17041"			61.68
	"DuPage County, IL"	"17043"	"Jan"	"1"	27.21
	"DuPage County, IL"	"17043"	"Feb"	"2"	31.63
	"DuPage County, IL"	"17043"	"Mar"	"3"	44.21
	"DuPage County, IL"	"17043"	"Apr"	"4"	57.43
	"DuPage County, IL"	"17043"	"May"	"5"	68.42
	"DuPage County, IL"	"17043"	"Jun"	"6"	78.10
	"DuPage County, IL"	"17043"	"Jul"	"7"	82.34
	"DuPage County, IL"	"17043"	"Aug"	"8"	81.50
	"DuPage County, IL"	"17043"	"Sep"	"9"	74.45
	"DuPage County, IL"	"17043"	"Oct"	"10"	61.35
	"DuPage County, IL"	"17043"	"Nov"	"11"	46.58
	"DuPage County, IL"	"17043"	"Dec"	"12"	32.16
"Total"	"DuPage County, IL"	"17043"			57.23
	"Edgar County, IL"	"17045"	"Jan"	"1"	32.72
	"Edgar County, IL"	"17045"	"Feb"	"2"	37.54
	"Edgar County, IL"	"17045"	"Mar"	"3"	49.55
	"Edgar County, IL"	"17045"	"Apr"	"4"	62.11
	"Edgar County, IL"	"17045"	"May"	"5"	72.43
	"Edgar County, IL"	"17045"	"Jun"	"6"	81.28
	"Edgar County, IL"	"17045"	"Jul"	"7"	84.34
	"Edgar County, IL"	"17045"	"Aug"	"8"	84.28
	"Edgar County, IL"	"17045"	"Sep"	"9"	78.23
	"Edgar County, IL"	"17045"	"Oct"	"10"	65.51
	"Edgar County, IL"	"17045"	"Nov"	"11"	51.68
	"Edgar County, IL"	"17045"	"Dec"	"12"	37.87
"Total"	"Edgar County, IL"	"17045"			61.57
	"Edwards County, IL"	"17047"	"Jan"	"1"	37.32
	"Edwards County, IL"	"17047"	"Feb"	"2"	42.43
	"Edwards County, IL"	"17047"	"Mar"	"3"	53.60
	"Edwards County, IL"	"17047"	"Apr"	"4"	64.81
	"Edwards County, IL"	"17047"	"May"	"5"	74.68
	"Edwards County, IL"	"17047"	"Jun"	"6"	83.33
	"Edwards County, IL"	"17047"	"Jul"	"7"	86.78
	"Edwards County, IL"	"17047"	"Aug"	"8"	87.07
	"Edwards County, IL"	"17047"	"Sep"	"9"	80.40
	"Edwards County, IL"	"17047"	"Oct"	"10"	68.09
	"Edwards County, IL"	"17047"	"Nov"	"11"	54.74
	"Edwards County, IL"	"17047"	"Dec"	"12"	41.74
"Total"	"Edwards County, IL"	"17047"			64.68
	"Effingham County, IL"	"17049"	"Jan"	"1"	35.03
	"Effingham County, IL"	"17049"	"Feb"	"2"	40.17
	"Effingham County, IL"	"17049"	"Mar"	"3"	51.71
	"Effingham County, IL"	"17049"	"Apr"	"4"	63.49
	"Effingham County, IL"	"17049"	"May"	"5"	73.56
	"Effingham County, IL"	"17049"	"Jun"	"6"	82.50
	"Effingham County, IL"	"17049"	"Jul"	"7"	86.05
	"Effingham County, IL"	"17049"	"Aug"	"8"	86.36
	"Effingham County, IL"	"17049"	"Sep"	"9"	79.62
	"Effingham County, IL"	"17049"	"Oct"	"10"	66.96
	"Effingham County, IL"	"17049"	"Nov"	"11"	53.23
	"Effingham County, IL"	"17049"	"Dec"	"12"	39.89
"Total"	"Effingham County, IL"	"17049"			63.32
	"Fayette County, IL"	"17051"	"Jan"	"1"	35.07
	"Fayette County, IL"	"17051"	"Feb"	"2"	40.31
	"Fayette County, IL"	"17051"	"Mar"	"3"	52.06
	"Fayette County, IL"	"17051"	"Apr"	"4"	63.75
	"Fayette County, IL"	"17051"	"May"	"5"	73.81
	"Fayette County, IL"	"17051"	"Jun"	"6"	82.76
	"Fayette County, IL"	"17051"	"Jul"	"7"	86.61
	"Fayette County, IL"	"17051"	"Aug"	"8"	87.03
	"Fayette County, IL"	"17051"	"Sep"	"9"	79.88
	"Fayette County, IL"	"17051"	"Oct"	"10"	67.24
	"Fayette County, IL"	"17051"	"Nov"	"11"	53.40
	"Fayette County, IL"	"17051"	"Dec"	"12"	39.95
"Total"	"Fayette County, IL"	"17051"			63.59
	"Ford County, IL"	"17053"	"Jan"	"1"	29.77
	"Ford County, IL"	"17053"	"Feb"	"2"	34.28
	"Ford County, IL"	"17053"	"Mar"	"3"	46.60
	"Ford County, IL"	"17053"	"Apr"	"4"	59.91
	"Ford County, IL"	"17053"	"May"	"5"	71.48
	"Ford County, IL"	"17053"	"Jun"	"6"	80.05
	"Ford County, IL"	"17053"	"Jul"	"7"	83.05
	"Ford County, IL"	"17053"	"Aug"	"8"	83.14
	"Ford County, IL"	"17053"	"Sep"	"9"	76.91
	"Ford County, IL"	"17053"	"Oct"	"10"	64.12
	"Ford County, IL"	"17053"	"Nov"	"11"	49.52
	"Ford County, IL"	"17053"	"Dec"	"12"	34.79
"Total"	"Ford County, IL"	"17053"			59.58
	"Franklin County, IL"	"17055"	"Jan"	"1"	38.51
	"Franklin County, IL"	"17055"	"Feb"	"2"	43.50
	"Franklin County, IL"	"17055"	"Mar"	"3"	54.78
	"Franklin County, IL"	"17055"	"Apr"	"4"	65.89
	"Franklin County, IL"	"17055"	"May"	"5"	75.29
	"Franklin County, IL"	"17055"	"Jun"	"6"	83.89
	"Franklin County, IL"	"17055"	"Jul"	"7"	87.85
	"Franklin County, IL"	"17055"	"Aug"	"8"	88.14
	"Franklin County, IL"	"17055"	"Sep"	"9"	80.81
	"Franklin County, IL"	"17055"	"Oct"	"10"	68.93
	"Franklin County, IL"	"17055"	"Nov"	"11"	55.60
	"Franklin County, IL"	"17055"	"Dec"	"12"	42.81
"Total"	"Franklin County, IL"	"17055"			65.60
	"Fulton County, IL"	"17057"	"Jan"	"1"	30.59
	"Fulton County, IL"	"17057"	"Feb"	"2"	35.90
	"Fulton County, IL"	"17057"	"Mar"	"3"	49.11
	"Fulton County, IL"	"17057"	"Apr"	"4"	61.66
	"Fulton County, IL"	"17057"	"May"	"5"	72.13
	"Fulton County, IL"	"17057"	"Jun"	"6"	81.24
	"Fulton County, IL"	"17057"	"Jul"	"7"	86.25
	"Fulton County, IL"	"17057"	"Aug"	"8"	86.49
	"Fulton County, IL"	"17057"	"Sep"	"9"	78.20
	"Fulton County, IL"	"17057"	"Oct"	"10"	65.12
	"Fulton County, IL"	"17057"	"Nov"	"11"	50.47
	"Fulton County, IL"	"17057"	"Dec"	"12"	35.79
"Total"	"Fulton County, IL"	"17057"			61.19
	"Gallatin County, IL"	"17059"	"Jan"	"1"	39.50
	"Gallatin County, IL"	"17059"	"Feb"	"2"	44.24
	"Gallatin County, IL"	"17059"	"Mar"	"3"	55.14
	"Gallatin County, IL"	"17059"	"Apr"	"4"	66.23
	"Gallatin County, IL"	"17059"	"May"	"5"	75.55
	"Gallatin County, IL"	"17059"	"Jun"	"6"	83.91
	"Gallatin County, IL"	"17059"	"Jul"	"7"	87.48
	"Gallatin County, IL"	"17059"	"Aug"	"8"	87.42
	"Gallatin County, IL"	"17059"	"Sep"	"9"	80.51
	"Gallatin County, IL"	"17059"	"Oct"	"10"	69.02
	"Gallatin County, IL"	"17059"	"Nov"	"11"	56.15
	"Gallatin County, IL"	"17059"	"Dec"	"12"	43.56
"Total"	"Gallatin County, IL"	"17059"			65.82
	"Greene County, IL"	"17061"	"Jan"	"1"	34.29
	"Greene County, IL"	"17061"	"Feb"	"2"	39.74
	"Greene County, IL"	"17061"	"Mar"	"3"	52.09
	"Greene County, IL"	"17061"	"Apr"	"4"	63.77
	"Greene County, IL"	"17061"	"May"	"5"	73.62
	"Greene County, IL"	"17061"	"Jun"	"6"	82.64
	"Greene County, IL"	"17061"	"Jul"	"7"	87.70
	"Greene County, IL"	"17061"	"Aug"	"8"	88.41
	"Greene County, IL"	"17061"	"Sep"	"9"	80.09
	"Greene County, IL"	"17061"	"Oct"	"10"	67.22
	"Greene County, IL"	"17061"	"Nov"	"11"	53.15
	"Greene County, IL"	"17061"	"Dec"	"12"	39.18
"Total"	"Greene County, IL"	"17061"			63.60
	"Grundy County, IL"	"17063"	"Jan"	"1"	28.77
	"Grundy County, IL"	"17063"	"Feb"	"2"	33.49
	"Grundy County, IL"	"17063"	"Mar"	"3"	46.33
	"Grundy County, IL"	"17063"	"Apr"	"4"	59.76
	"Grundy County, IL"	"17063"	"May"	"5"	70.95
	"Grundy County, IL"	"17063"	"Jun"	"6"	79.82
	"Grundy County, IL"	"17063"	"Jul"	"7"	83.36
	"Grundy County, IL"	"17063"	"Aug"	"8"	83.16
	"Grundy County, IL"	"17063"	"Sep"	"9"	76.51
	"Grundy County, IL"	"17063"	"Oct"	"10"	63.54
	"Grundy County, IL"	"17063"	"Nov"	"11"	48.52
	"Grundy County, IL"	"17063"	"Dec"	"12"	33.70
"Total"	"Grundy County, IL"	"17063"			59.11
	"Hamilton County, IL"	"17065"	"Jan"	"1"	38.46
	"Hamilton County, IL"	"17065"	"Feb"	"2"	43.39
	"Hamilton County, IL"	"17065"	"Mar"	"3"	54.57
	"Hamilton County, IL"	"17065"	"Apr"	"4"	65.72
	"Hamilton County, IL"	"17065"	"May"	"5"	75.23
	"Hamilton County, IL"	"17065"	"Jun"	"6"	83.75
	"Hamilton County, IL"	"17065"	"Jul"	"7"	87.42
	"Hamilton County, IL"	"17065"	"Aug"	"8"	87.59
	"Hamilton County, IL"	"17065"	"Sep"	"9"	80.54
	"Hamilton County, IL"	"17065"	"Oct"	"10"	68.71
	"Hamilton County, IL"	"17065"	"Nov"	"11"	55.52
	"Hamilton County, IL"	"17065"	"Dec"	"12"	42.75
"Total"	"Hamilton County, IL"	"17065"			65.40
	"Hancock County, IL"	"17067"	"Jan"	"1"	30.75
	"Hancock County, IL"	"17067"	"Feb"	"2"	35.96
	"Hancock County, IL"	"17067"	"Mar"	"3"	49.40
	"Hancock County, IL"	"17067"	"Apr"	"4"	61.91
	"Hancock County, IL"	"17067"	"May"	"5"	72.26
	"Hancock County, IL"	"17067"	"Jun"	"6"	81.60
	"Hancock County, IL"	"17067"	"Jul"	"7"	87.03
	"Hancock County, IL"	"17067"	"Aug"	"8"	87.02
	"Hancock County, IL"	"17067"	"Sep"	"9"	78.42
